## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.numberofemployees,entity.companyheadquarters,entity.product,entity.marketsite,entity.industry,entity.product_type,entity.employee_range,entity.custom10
casestudy_team-liquid,team-liquid,casestudy, ,https://www.concur.com/sites/default/files/vertical-mono-dark.png, ,https://www.concur.com/en-us/casestudy/team-liquid, , , , ,250,"Utrecht, Netherlands and Los Angeles",Concur Expense,US,Entertainment,Expense,100 - 499, 
casestudy_petronas,petronas,casestudy, ,https://www.concur.com/sites/default/files/petronas_logo_0.png, ,https://www.concur.com/en-us/casestudy/petronas, , , , ,47600,"Kuala Lumpur, Malaysia","Concur Expense, Concur Travel, Budget, Concur TripLink, Concur Request, Consultive Intelligence, Concur Select Care, User Support Desk, User Assistant by WalkMe, Intelligent Audit, Client Web Services, ExpenseIt, Policy Audit",US,Government,"Data Insights,Support Offerings,Travel,Expense","10,000 - 49,999", 
casestudy_kuka,kuka,casestudy, ,https://www.concur.com/sites/default/files/kuka-logo-orange-gradient-rgb-s-clear.png, ,https://www.concur.com/en-us/casestudy/kuka, , , , ,15000,"Augsburg, Germany","Concur Expense, Concur Travel, Concur Request, Intelligence, ExpenseIt",US,Manufacturing,"Data Insights,Travel,Expense","10,000 - 49,999", 
casestudy_uber,uber,casestudy, ,https://www.concur.com/sites/default/files/uber-logo-650x366.png, ,https://www.concur.com/en-us/casestudy/uber, , , , ,26000,"San Francisco, CA","Concur Expense, Concur Select Care, Intelligent Audit, ExpenseIt",US,Technology,Expense,"10,000 - 49,999", 
casestudy_campari-group,campari-group,casestudy, ,https://www.concur.com/sites/default/files/camparilogo_0.png, ,https://www.concur.com/en-us/casestudy/campari-group, , , , ,4700,"Milan, Italy","Concur Expense, Concur Travel",US,Food Beverage,"Travel,Expense","3,000 - 5,999", 
casestudy_american-eagle-outfitters,american-eagle-outfitters,casestudy, ,https://www.concur.com/sites/default/files/aeo_inc_v2-01.jpg, ,https://www.concur.com/en-us/casestudy/american-eagle-outfitters, , , , ,40001,"Pittsburgh, Pennsylvania","Concur Expense, Concur Travel",US,Retail,"Travel,Expense","10,000 - 49,999", 
casestudy_chobani,chobani,casestudy, ,https://www.concur.com/sites/default/files/chobani_llc_logo.png, ,https://www.concur.com/en-us/casestudy/chobani, , , , ,2000,"Norwich, New York","Concur Expense, Verify",US,Food Beverage,Expense,"2,000 - 2,999", 
casestudy_destination-bc,destination-bc,casestudy, ,https://www.concur.com/sites/default/files/destination_bc.png, ,https://www.concur.com/en-us/casestudy/destination-bc, , , , ,137,"Vancouver, BC",Concur Invoice,US,Travel,Invoice,100 - 499, 
casestudy_snp-group,snp-group,casestudy, ,https://www.concur.com/sites/default/files/snp_group_logo.png, ,https://www.concur.com/en-us/casestudy/snp-group, , , , ,1400,"Heidelberg, Germany",Concur Expense,US,Technology,Expense,"1,000 - 1,999", 
casestudy_fulton-county-schools-genesis-consulting,fulton-county-schools-genesis-consulting,casestudy, ,https://www.concur.com/sites/default/files/fulton-county-homepage-logo-2.png, ,https://www.concur.com/en-us/casestudy/fulton-county-schools-genesis-consulting, , , , ,14000,"Atlanta, Georgia","Concur Expense, Concur Request",US,Education,Expense,"10,000 - 49,999", 
casestudy_longchamp,longchamp,casestudy, ,https://www.concur.com/sites/default/files/longchamp.jpg, ,https://www.concur.com/en-us/casestudy/longchamp, , , , ,2500,France,Concur Expense,US,Retail,Expense,"2,000 - 2,999", 
casestudy_tetra-pak,tetra-pak,casestudy, ,https://www.concur.com/sites/default/files/tetrapak.jpeg, ,https://www.concur.com/en-us/casestudy/tetra-pak, , , , ,25000,"Lund, Sweden","Concur Expense, Concur Travel",US,Manufacturing,"Travel,Expense","10,000 - 49,999", 
casestudy_cirque-du-soleil,cirque-du-soleil,casestudy, ,https://www.concur.com/sites/default/files/sap_concur_cirque_du_soleil_case_study_creative_english_version_wip.jpg, ,https://www.concur.com/en-us/casestudy/cirque-du-soleil, , , , ,4001,"Montreal, Quebec","Concur Expense, Concur Travel",US,Entertainment,"Travel,Expense","3,000 - 5,999", 
casestudy_gallagher,gallagher,casestudy, ,https://www.concur.com/sites/default/files/gallagher-logo-sml_1.jpg, ,https://www.concur.com/en-us/casestudy/gallagher, , , , ,1300,"Hamilton, New Zealand",Concur Expense,US,Manufacturing,Expense,"1,000 - 1,999", 
casestudy_standard-chartered-bank,standard-chartered-bank,casestudy, ,https://www.concur.com/sites/default/files/sc-lock-up-english-grey-rgb_1.png, ,https://www.concur.com/en-us/casestudy/standard-chartered-bank, , , , ,85000,London,"Concur Expense, Concur Travel, Concur Request, Concur Select Care, User Assistant by WalkMe, Intelligent Audit, ExpenseIt",US,Financial,"Travel,Expense","> 50,000", 
casestudy_merck,merck,casestudy, ,https://www.concur.com/sites/default/files/merck_logo_logotype_1.png, ,https://www.concur.com/en-us/casestudy/merck, , , , ,65000,"Rahway, NJ","Concur Expense, Concur Select Care, Intelligent Audit, ExpenseIt",US,Pharmaceutical,Expense,"> 50,000", 
casestudy_bridgewater-state-university,bridgewater-state-university,casestudy, ,https://www.concur.com/sites/default/files/581px-bridgewater_state_university_logo.png, ,https://www.concur.com/en-us/casestudy/bridgewater-state-university, , , , ,1500,"Bridgewater, Massachusetts","Concur Expense, Concur Travel",US,Education,"Travel,Expense","1,000 - 1,999", 
casestudy_george-washington-university-0,george-washington-university-0,casestudy, ,https://www.concur.com/sites/default/files/gw_primary_2c_0.png, ,https://www.concur.com/en-us/casestudy/george-washington-university-0, , , , ,10001,"Washington DC, United States and global campuses","Concur Expense, Concur Invoice, Concur Travel, Concur TripLink, Concur Request",US,Education,"Invoice,Travel,Expense","10,000 - 49,999", 
